query_id,language,pipeline,total_latency_ms
q_data_1100338,asm_Beng,voice_rag,59.35
q_data_81586,asm_Beng,voice_rag,60.64
q_data_91452,asm_Beng,voice_rag,57.28
q_data_190844,asm_Beng,voice_rag,58.5
q_data_229215,asm_Beng,voice_rag,58.99
q_data_211441,asm_Beng,voice_rag,56.61
q_data_330054,asm_Beng,voice_rag,57.31
q_data_1090346,asm_Beng,voice_rag,59.57
q_data_265717,asm_Beng,voice_rag,58.14
q_data_326813,asm_Beng,voice_rag,55.87
q_data_185914,asm_Beng,voice_rag,54.6
q_data_1060341,asm_Beng,voice_rag,60.37
q_data_106218,asm_Beng,voice_rag,60.92
q_data_126636,asm_Beng,voice_rag,60.89
q_data_53335,asm_Beng,voice_rag,56.41
q_data_129959,asm_Beng,voice_rag,57.09
q_data_160108,asm_Beng,voice_rag,57.44
q_data_191749,asm_Beng,voice_rag,59.11
q_eng_01,en,voice_rag,50.8
q_eng_02,en,voice_rag,52.91
q_eng_03,en,voice_rag,53.31
q_eng_04,en,voice_rag,52.79
q_eng_05,en,voice_rag,54.95
q_eng_06,en,voice_rag,54.13
q_eng_07,en,voice_rag,51.05
q_eng_08,en,voice_rag,52.48
q_as_01,as,voice_rag,52.29
q_as_02,as,voice_rag,55.82
q_as_03,as,voice_rag,54.43
q_hi_01,hi,voice_rag,52.96
q_hi_02,hi,voice_rag,55.3
q_ta_01,ta,voice_rag,54.11
q_te_01,te,voice_rag,52.78
